ar,1,2,1,0,1,0,14
ma,1,1,1,1,0,1,13
vi,1,1,3,0,2,2,12
rum,1,2,5,1,1,3,11
que,1,1,2,2,0,4,10
ca,1,1,1,0,1,5,9
no,1,1.5,4,1,0,6,8
tro,1,1,4,0,1,7,7
jae,2,1,7,1,0,8,6
qui,1,1.5,3,0,0,9,5
pri,1,1,3,0,1,10,4
mus,1,1,5,1,0,11,3
ab,1,1,1,0,0,12,2
o,1,1,4,0,1,13,1
ris,1,1,3,1,0,14,0
i,1,1,3,0,3,0,14
ta,1,1,1,1,2,1,13
li,1,0,3,2,1,2,12
am,1,2,1,3,0,3,11
fa,1,1,1,0,1,4,10
to,1,1.5,4,1,0,5,9
pro,1,1,4,0,2,6,8
fu,1,2,5,1,1,7,7
gus,0,1,0,2,0,8,6
la,1,1,1,0,3,9,5
vin,1,2,3,1,2,10,4
ja,1,1,1,2,1,11,3
que,1,1,2,3,0,12,2
ve,1,1,2,0,1,13,1
nit,1,1,3,1,0,14,0
li,1,1,3,0,2,0,15
to,1,1,4,1,1,1,14
ra,1,1,1,2,0,2,13
mul,1,2,5,0,1,3,12
tum,0,0,5,1,0,4,11
il,1,2,3,0,1,5,10
le,0,0,2,1,0,6,9
et,1,2,2,0,0,7,8
ter,1,2,2,0,1,8,7
ris,1,2,3,1,0,9,6
jac,1,2,1,0,2,10,5
ta,1,1,1,1,1,11,4
tus,1,1,5,2,0,12,3
et,1,1,2,0,0,13,2
al,1,2,1,0,1,14,1
to,1,0,4,1,0,15,0
vi,1,1,3,0,0,0,14
su,1,1,5,0,2,1,13
pe,1,1,2,1,1,2,12
rum,1,2,5,2,0,3,11
sae,2,1,7,0,1,4,10
vae,2,1,7,1,0,5,9
me,1,1,2,0,2,6,8
mo,1,1,4,1,1,7,7
rem,1,2,2,2,0,8,6
ju,1,1,5,0,2,9,5
no,1,1,4,1,1,10,4
nis,1,1,3,2,0,11,3
ob,1,1,4,0,0,12,2
i,1,1,3,0,1,13,1
ram,1,1,1,1,0,14,0
mul,1,2,5,0,1,0,14
ta,1,1,1,1,0,1,13
quo,1,1,4,0,1,2,12
que,0,0,2,1,0,3,11
et,1,2,2,0,0,4,10
bel,1,2,2,0,1,5,9
lo,1,1,4,1,0,6,8
pas,1,2,1,0,1,7,7
sus,1,2,5,1,0,8,6
dum,1,2,5,0,0,9,5
con,1,2,4,0,2,10,4
de,1,1,2,1,1,11,3
ret,1,1,2,2,0,12,2
ur,1,2,5,0,1,13,1
bem,1,1,2,1,0,14,0
in,1,2,3,0,3,0,15
fer,1,2,2,1,2,1,14
ret,1,2,2,2,1,2,13
que,1,1,2,3,0,3,12
de,1,0,2,0,1,4,11
os,1,2,4,1,0,5,10
la,1,1,1,0,2,6,9
ti,1,0,3,1,1,7,8
o,1,1,4,2,0,8,7
ge,1,1,2,0,1,9,6
nus,1,1,5,1,0,10,5
un,1,2,5,0,1,11,4
de,1,1,2,1,0,12,3
la,1,1,1,0,2,13,2
ti,1,1,3,1,1,14,1
num,1,1,5,2,0,15,0
al,1,2,1,0,3,0,14
ba,1,1,1,1,2,1,13
ni,1,1,3,2,1,2,12
que,1,1,2,3,0,3,11
pat,1,1.5,1,0,1,4,10
res,1,1,2,1,0,5,9
at,1,2,1,0,1,6,8
que,0,0,2,1,0,7,7
al,1,2,1,0,1,8,6
tae,2,1,7,1,0,9,5
moe,2,1,8,0,2,10,4
ni,1,0,3,1,1,11,3
a,1,1,1,2,0,12,2
ro,1,1,4,0,1,13,1
mae,2,0,7,1,0,14,0
mu,1,1,5,0,1,0,14
sa,1,1,1,1,0,1,13
mi,1,0,3,0,1,2,12
hi,1,1,3,1,0,3,11
cau,2,1,9,0,1,4,10
sas,1,2,1,1,0,5,9
me,1,1,2,0,2,6,8
mo,1,1,4,1,1,7,7
ra,1,1,1,2,0,8,6
quo,1,1,4,0,0,9,5
nu,1,1,5,0,2,10,4
mi,1,1,3,1,1,11,3
ne,1,1,2,2,0,12,2
lae,2,1,7,0,1,13,1
so,1,0,4,1,0,14,0
quid,1,2,3,0,1,0,14
ve,1,1,2,1,0,1,13
do,1,1,4,0,1,2,12
lens,1,3,2,1,0,3,11
re,1,1,2,0,2,4,10
gi,1,1,3,1,1,5,9
na,1,1,1,2,0,6,8
de,1,0,2,0,1,7,7
um,1,2,5,1,0,8,6
tot,1,2,4,0,0,9,5
vol,1,2,4,0,2,10,4
ve,1,1,2,1,1,11,3
re,1,1,2,2,0,12,2
ca,1,1,1,0,1,13,1
sus,1,1,5,1,0,14,0
in,1,2,3,0,2,0,15
sig,1,2,3,1,1,1,14
nem,1,2,2,2,0,2,13
pi,1,0,3,0,3,3,12
e,1,1,2,1,2,4,11
ta,1,1,1,2,1,5,10
te,1,1,2,3,0,6,9
vi,1,1,3,0,1,7,8
rum,1,2,5,1,0,8,7
tot,1,1,4,0,0,9,6
a,1,1,1,0,2,10,5
di,1,1,3,1,1,11,4
re,1,1,2,2,0,12,3
la,1,1,1,0,2,13,2
bo,1,1,4,1,1,14,1
res,1,1,2,2,0,15,0
im,1,2,3,0,3,0,15
pu,1,1,5,1,2,1,14
le,1,1,2,2,1,2,13
rit,1,2,3,3,0,3,12
tan,1,2,1,0,2,4,11
tae,2,1,7,1,1,5,10
ne,0,0,2,2,0,6,9
a,1,1,1,0,2,7,8
ni,1,1,3,1,1,8,7
