in,1,2,3,0,3,0,13
te,1,1,2,1,2,1,12
re,1,0,2,2,1,2,11
a,1,1,1,3,0,3,10
mag,1,2,1,0,1,4,9
no,1,1,4,1,0,5,8
mis,1,2,3,0,2,6,7
ce,1,1,2,1,1,7,6
ri,1,1,3,2,0,8,5
mur,1,2,5,0,2,9,4
mu,1,1,5,1,1,10,3
re,1,1,2,2,0,11,2
cae,2,1,7,0,1,12,1
lum,1,1,5,1,0,13,0
in,1,2,3,0,2,0,14
ci,1,1,3,1,1,1,13
pit,1,1,3,2,0,2,12
in,1,2,3,0,3,3,11
se,1,1,2,1,2,4,10
qui,1,1,3,2,1,5,9
tur,1,2,5,3,0,6,8
com,1,2,4,0,2,7,7
mix,1,3,3,1,1,8,6
ta,1,1.5,1,2,0,9,5
gran,1,2,1,0,2,10,4
di,1,1,3,1,1,11,3
ne,1,1,2,2,0,12,2
nim,1,2,3,0,1,13,1
bus,1,1,5,1,0,14,0
et,1,2,2,0,0,0,15
tu,1,1,5,0,2,1,14
ri,1,0,3,1,1,2,13
i,1,1,3,2,0,3,12
co,1,1,4,0,2,4,11
mi,1,1,3,1,1,5,10
tes,1,2,2,2,0,6,9
pas,1,2,1,0,1,7,8
sim,0,0,3,1,0,8,7
et,1,2.5,2,0,0,9,6
tro,1,1,4,0,2,10,5
ja,1,1,1,1,1,11,4
na,1,1,1,2,0,12,3
ju,1,1,5,0,2,13,2
ven,1,2,2,1,1,14,1
tus,1,1,5,2,0,15,0
dar,1,2,1,0,4,0,15
da,1,1,1,1,3,1,14
ni,1,0,3,2,2,2,13
us,1,2,5,3,1,3,12
que,1,1,2,4,0,4,11
ne,1,1,2,0,1,5,10
pos,1,2,4,1,0,6,9
ve,1,1,2,0,2,7,8
ne,1,1,2,1,1,8,7
ris,1,2,3,2,0,9,6
di,1,1,3,0,2,10,5
ver,1,2,2,1,1,11,4
sa,1,1,1,2,0,12,3
per,1,1,2,0,0,13,2
ag,1,1.5,1,0,1,14,1
ros,1,1,4,1,0,15,0
tec,1,2,2,0,1,0,15
ta,1,1,1,1,0,1,14
me,1,1,2,0,1,2,13
tu,1,1,5,1,0,3,12
pe,1,1,2,0,3,4,11
ti,1,0,3,1,2,5,10
e,1,1,2,2,1,6,9
re,1,1,2,3,0,7,8
ru,1,0,5,0,1,8,7
unt,1,3,5,1,0,9,6
de,1,1,2,0,0,10,5
mon,1,2,4,0,2,11,4
ti,1,1,3,1,1,12,3
bus,1,1,5,2,0,13,2
am,1,2,1,0,1,14,1
nes,1,1,2,1,0,15,0
spe,1,1,2,0,2,0,12
lun,1,2,5,1,1,1,11
cam,1,2,1,2,0,2,10
di,1,1,3,0,1,3,9
do,1,1,4,1,0,4,8
dux,1,2,5,0,0,5,7
et,1,2.5,2,0,0,6,6
tro,1,1,4,0,2,7,5
ja,1,1,1,1,1,8,4
nus,1,1,5,2,0,9,3
e,1,0,2,0,2,10,2
an,1,2,1,1,1,11,1
dem,1,1,2,2,0,12,0
de,1,1,2,0,3,0,14
ve,1,1,2,1,2,1,13
ni,1,0,3,2,1,2,12
unt,1,3.5,5,3,0,3,11
pri,1,1,3,0,1,4,10
ma,0,0,1,1,0,5,9
et,1,2,2,0,0,6,8
tel,1,2,2,0,1,7,7
lus,1,1,5,1,0,8,6
et,1,2.5,2,0,0,9,5
pro,1,1,4,0,2,10,4
nu,1,1,5,1,1,11,3
ba,1,1,1,2,0,12,2
ju,1,1,5,0,1,13,1
no,1,0,4,1,0,14,0
dant,1,3,1,0,0,0,13
sig,1,2,3,0,1,1,12
num,1,2,5,1,0,2,11
ful,1,2,5,0,2,3,10
se,1,1,2,1,1,4,9
re,0,0,2,2,0,5,8
ig,1,2,3,0,1,6,7
nes,1,1,2,1,0,7,6
et,1,2,2,0,0,8,5
cons,1,3,4,0,2,9,4
ci,1,0,3,1,1,10,3
us,1,1,5,2,0,11,2
aet,2,1,7,0,1,12,1
her,1,1,2,1,0,13,0
co,1,1,4,0,3,0,15
nu,1,1,5,1,2,1,14
bi,1,0,3,2,1,2,13
is,1,2,3,3,0,3,12
sum,1,2,5,0,2,4,11
mo,1,1,4,1,1,5,10
que,0,0,2,2,0,6,9
